converged SCF energy = -154.536817323866  <S^2> = 2.4553231e-09  2S+1 = 1
 ** Mulliken Spin Density (per AO)  **
spin_pop of  2 C 4f+3     -0.00000
spin_pop of  2 C 5f-3     -0.00000
spin_pop of  2 C 5f-2      0.00000
spin_pop of  2 C 5f-1     -0.00000
spin_pop of  2 C 5f+0     -0.00000
spin_pop of  2 C 5f+1     -0.00000
spin_pop of  2 C 5f+2     -0.00000
spin_pop of  2 C 5f+3     -0.00000
spin_pop of  2 C 5g-4     -0.00000
spin_pop of  2 C 5g-3     -0.00000
spin_pop of  2 C 5g-2     -0.00000
spin_pop of  2 C 5g-1     -0.00000
spin_pop of  2 C 5g+0     -0.00000
spin_pop of  2 C 5g+1     -0.00000
spin_pop of  2 C 5g+2     -0.00000
spin_pop of  2 C 5g+3     -0.00000
spin_pop of  2 C 5g+4      0.00000
spin_pop of  3 C 1s        0.00000
spin_pop of  3 C 2s       -0.00000
spin_pop of  3 C 3s       -0.00000
spin_pop of  3 C 4s       -0.00000
spin_pop of  3 C 5s       -0.00000
spin_pop of  3 C 2px      -0.00000
spin_pop of  3 C 2py      -0.00000
spin_pop of  3 C 2pz      -0.00000
spin_pop of  3 C 3px      -0.00000
spin_pop of  3 C 3py      -0.00001
spin_pop of  3 C 3pz      -0.00000
spin_pop of  3 C 4px      -0.00000
spin_pop of  3 C 4py      -0.00001
spin_pop of  3 C 4pz      -0.00000
spin_pop of  3 C 5px      -0.00000
spin_pop of  3 C 5py      -0.00001
spin_pop of  3 C 5pz      -0.00000
spin_pop of  3 C 3dxy      0.00000
spin_pop of  3 C 3dyz      0.00000
spin_pop of  3 C 3dz^2     0.00000
spin_pop of  3 C 3dxz      0.00000
spin_pop of  3 C 3dx2-y2    0.00000
spin_pop of  3 C 4dxy      0.00000
spin_pop of  3 C 4dyz      0.00000
spin_pop of  3 C 4dz^2     0.00000
spin_pop of  3 C 4dxz      0.00000
spin_pop of  3 C 4dx2-y2    0.00000
spin_pop of  3 C 5dxy      0.00000
spin_pop of  3 C 5dyz      0.00000
spin_pop of  3 C 5dz^2    -0.00000
spin_pop of  3 C 5dxz     -0.00000
spin_pop of  3 C 5dx2-y2   -0.00000
spin_pop of  3 C 4f-3      0.00000
spin_pop of  3 C 4f-2      0.00000
spin_pop of  3 C 4f-1      0.00000
spin_pop of  3 C 4f+0      0.00000
spin_pop of  3 C 4f+1      0.00000
spin_pop of  3 C 4f+2      0.00000
spin_pop of  3 C 4f+3      0.00000
spin_pop of  3 C 5f-3      0.00000
spin_pop of  3 C 5f-2     -0.00000
spin_pop of  3 C 5f-1      0.00000
spin_pop of  3 C 5f+0      0.00000
spin_pop of  3 C 5f+1      0.00000
spin_pop of  3 C 5f+2      0.00000
spin_pop of  3 C 5f+3      0.00000
spin_pop of  3 C 5g-4      0.00000
spin_pop of  3 C 5g-3      0.00000
spin_pop of  3 C 5g-2      0.00000
spin_pop of  3 C 5g-1      0.00000
spin_pop of  3 C 5g+0      0.00000
spin_pop of  3 C 5g+1      0.00000
spin_pop of  3 C 5g+2      0.00000
spin_pop of  3 C 5g+3      0.00000
spin_pop of  3 C 5g+4     -0.00000
spin_pop of  4 H 1s       -0.00000
spin_pop of  4 H 2s       -0.00000
spin_pop of  4 H 3s       -0.00000
spin_pop of  4 H 4s       -0.00000
spin_pop of  4 H 2px       0.00000
spin_pop of  4 H 2py       0.00000
spin_pop of  4 H 2pz       0.00000
spin_pop of  4 H 3px       0.00000
spin_pop of  4 H 3py       0.00000
spin_pop of  4 H 3pz       0.00000
spin_pop of  4 H 4px       0.00000
spin_pop of  4 H 4py       0.00000
spin_pop of  4 H 4pz      -0.00000
spin_pop of  4 H 3dxy      0.00000
spin_pop of  4 H 3dyz      0.00000
spin_pop of  4 H 3dz^2     0.00000
spin_pop of  4 H 3dxz      0.00000
spin_pop of  4 H 3dx2-y2    0.00000
spin_pop of  4 H 4dxy      0.00000
spin_pop of  4 H 4dyz      0.00000
spin_pop of  4 H 4dz^2    -0.00000
spin_pop of  4 H 4dxz      0.00000
spin_pop of  4 H 4dx2-y2   -0.00000
spin_pop of  4 H 4f-3      0.00000
spin_pop of  4 H 4f-2      0.00000
spin_pop of  4 H 4f-1      0.00000
spin_pop of  4 H 4f+0      0.00000
spin_pop of  4 H 4f+1      0.00000
spin_pop of  4 H 4f+2      0.00000
spin_pop of  4 H 4f+3      0.00000
spin_pop of  5 H 1s        0.00000
spin_pop of  5 H 2s        0.00000
spin_pop of  5 H 3s        0.00000
spin_pop of  5 H 4s        0.00000
spin_pop of  5 H 2px      -0.00000
spin_pop of  5 H 2py      -0.00000
spin_pop of  5 H 2pz      -0.00000
spin_pop of  5 H 3px      -0.00000
spin_pop of  5 H 3py      -0.00000
spin_pop of  5 H 3pz      -0.00000
spin_pop of  5 H 4px      -0.00000
spin_pop of  5 H 4py      -0.00000
spin_pop of  5 H 4pz       0.00000
spin_pop of  5 H 3dxy     -0.00000
spin_pop of  5 H 3dyz     -0.00000
spin_pop of  5 H 3dz^2    -0.00000
spin_pop of  5 H 3dxz     -0.00000
spin_pop of  5 H 3dx2-y2   -0.00000
spin_pop of  5 H 4dxy     -0.00000
spin_pop of  5 H 4dyz     -0.00000
spin_pop of  5 H 4dz^2     0.00000
spin_pop of  5 H 4dxz     -0.00000
spin_pop of  5 H 4dx2-y2    0.00000
spin_pop of  5 H 4f-3     -0.00000
spin_pop of  5 H 4f-2     -0.00000
spin_pop of  5 H 4f-1     -0.00000
spin_pop of  5 H 4f+0     -0.00000
spin_pop of  5 H 4f+1     -0.00000
spin_pop of  5 H 4f+2     -0.00000
spin_pop of  5 H 4f+3     -0.00000
spin_pop of  6 H 1s       -0.00000
spin_pop of  6 H 2s       -0.00000
spin_pop of  6 H 3s       -0.00000
spin_pop of  6 H 4s       -0.00000
spin_pop of  6 H 2px       0.00000
spin_pop of  6 H 2py       0.00000
spin_pop of  6 H 2pz       0.00000
spin_pop of  6 H 3px       0.00000
spin_pop of  6 H 3py       0.00000
spin_pop of  6 H 3pz       0.00000
spin_pop of  6 H 4px       0.00000
spin_pop of  6 H 4py       0.00000
spin_pop of  6 H 4pz      -0.00000
spin_pop of  6 H 3dxy      0.00000
spin_pop of  6 H 3dyz      0.00000
spin_pop of  6 H 3dz^2     0.00000
spin_pop of  6 H 3dxz      0.00000
spin_pop of  6 H 3dx2-y2    0.00000
spin_pop of  6 H 4dxy      0.00000
spin_pop of  6 H 4dyz      0.00000
spin_pop of  6 H 4dz^2    -0.00000
spin_pop of  6 H 4dxz      0.00000
spin_pop of  6 H 4dx2-y2   -0.00000
spin_pop of  6 H 4f-3      0.00000
spin_pop of  6 H 4f-2      0.00000
spin_pop of  6 H 4f-1      0.00000
spin_pop of  6 H 4f+0      0.00000
spin_pop of  6 H 4f+1      0.00000
spin_pop of  6 H 4f+2      0.00000
spin_pop of  6 H 4f+3      0.00000
spin_pop of  7 H 1s        0.00000
spin_pop of  7 H 2s        0.00000
spin_pop of  7 H 3s        0.00000
spin_pop of  7 H 4s        0.00000
spin_pop of  7 H 2px      -0.00000
spin_pop of  7 H 2py      -0.00000
spin_pop of  7 H 2pz      -0.00000
spin_pop of  7 H 3px      -0.00000
spin_pop of  7 H 3py      -0.00000
spin_pop of  7 H 3pz      -0.00000
spin_pop of  7 H 4px      -0.00000
spin_pop of  7 H 4py      -0.00000
spin_pop of  7 H 4pz       0.00000
spin_pop of  7 H 3dxy     -0.00000
spin_pop of  7 H 3dyz     -0.00000
spin_pop of  7 H 3dz^2    -0.00000
spin_pop of  7 H 3dxz     -0.00000
spin_pop of  7 H 3dx2-y2   -0.00000
spin_pop of  7 H 4dxy     -0.00000
spin_pop of  7 H 4dyz     -0.00000
spin_pop of  7 H 4dz^2     0.00000
spin_pop of  7 H 4dxz     -0.00000
spin_pop of  7 H 4dx2-y2    0.00000
spin_pop of  7 H 4f-3     -0.00000
spin_pop of  7 H 4f-2     -0.00000
spin_pop of  7 H 4f-1     -0.00000
spin_pop of  7 H 4f+0     -0.00000
spin_pop of  7 H 4f+1     -0.00000
spin_pop of  7 H 4f+2     -0.00000
spin_pop of  7 H 4f+3     -0.00000
 ** Mulliken Spin Density (per atom)  **
spin density of  0 C =      0.00004
spin density of  1 C =     -0.00004
spin density of  2 C =      0.00004
spin density of  3 C =     -0.00004
spin density of  4 H =     -0.00000
spin density of  5 H =      0.00000
spin density of  6 H =     -0.00000
spin density of  7 H =      0.00000
M=0.000035.
converged SCF energy = -38.4094337414199  <S^2> = 3.7515297  2S+1 = 4.0007648
converged SCF energy = -38.4094350775323  <S^2> = 3.7515298  2S+1 = 4.0007648
converged SCF energy = -38.40943374142  <S^2> = 3.7515297  2S+1 = 4.0007648
converged SCF energy = -38.4094350775321  <S^2> = 3.7515298  2S+1 = 4.0007648
converged SCF energy = -38.4094337414204  <S^2> = 3.7515297  2S+1 = 4.0007648
converged SCF energy = -38.4094350775325  <S^2> = 3.7515298  2S+1 = 4.0007648
converged SCF energy = -38.4094337414205  <S^2> = 3.7515297  2S+1 = 4.0007648
converged SCF energy = -38.4094350775326  <S^2> = 3.7515298  2S+1 = 4.0007648
NaCH1: 3.5000168898526067
NbCH1: 3.4999820509400745
NaCH2: 3.4999819747237173
NbCH2: 3.500016813634728
NaCH3: 3.5000168898526076
NbCH3: 3.499982050940076
NaCH4: 3.49998197472372
NbCH4: 3.5000168136347303
converged SCF energy = -38.4094337414201  <S^2> = 3.7515297  2S+1 = 4.0007648
converged SCF energy = -38.4094350775325  <S^2> = 3.7515298  2S+1 = 4.0007648
converged SCF energy = -38.4094337414201  <S^2> = 3.7515297  2S+1 = 4.0007648
converged SCF energy = -38.4094350775325  <S^2> = 3.7515298  2S+1 = 4.0007648
Ef=-153.63774 L1=2.2802 ECH1=-38.40943 ECH2=-38.40944 ECH3=-38.40943 ECH4=-38.40944.
converged SCF energy = -38.3583879475809  <S^2> = 3.751583  2S+1 = 4.0007914
converged SCF energy = -38.3583865288568  <S^2> = 3.7515831  2S+1 = 4.0007915
converged SCF energy = -38.3583920086191  <S^2> = 3.751583  2S+1 = 4.0007914
converged SCF energy = -38.358386196681  <S^2> = 3.7515831  2S+1 = 4.0007915
itera=  0 step=1.73 Ef=-153.61837 L1=1.7315.
converged SCF energy = -38.5413943732239  <S^2> = 3.7515427  2S+1 = 4.0007713
converged SCF energy = -38.5413836291215  <S^2> = 3.7515428  2S+1 = 4.0007713
converged SCF energy = -38.5413977036639  <S^2> = 3.7515427  2S+1 = 4.0007713
converged SCF energy = -38.5413839807944  <S^2> = 3.7515428  2S+1 = 4.0007713
itera=  1 step=1.47 Ef=-153.59590 L1=1.4675.
converged SCF energy = -38.3735979059396  <S^2> = 3.751608  2S+1 = 4.0008039
converged SCF energy = -38.3735915584708  <S^2> = 3.7516081  2S+1 = 4.000804
converged SCF energy = -38.3736046726977  <S^2> = 3.751608  2S+1 = 4.0008039
converged SCF energy = -38.373591162642  <S^2> = 3.7516081  2S+1 = 4.000804
itera=  2 step=1.28 Ef=-153.57490 L1=1.2762.
converged SCF energy = -38.5527443041619  <S^2> = 3.7515567  2S+1 = 4.0007783
converged SCF energy = -38.5527296951198  <S^2> = 3.7515568  2S+1 = 4.0007783
converged SCF energy = -38.5527494749009  <S^2> = 3.7515567  2S+1 = 4.0007783
converged SCF energy = -38.5527300049641  <S^2> = 3.7515568  2S+1 = 4.0007783
itera=  3 step=1.16 Ef=-153.56072 L1=1.1579.
converged SCF energy = -38.4480489330272  <S^2> = 3.7515974  2S+1 = 4.0007986
converged SCF energy = -38.4480370700515  <S^2> = 3.7515975  2S+1 = 4.0007986
converged SCF energy = -38.4480561527497  <S^2> = 3.7515974  2S+1 = 4.0007986
converged SCF energy = -38.4480369184345  <S^2> = 3.7515975  2S+1 = 4.0007986
itera=  4 step=1.05 Ef=-153.54731 L1=1.0493.
converged SCF energy = -38.519538153671  <S^2> = 3.7515784  2S+1 = 4.0007891
converged SCF energy = -38.5195224756259  <S^2> = 3.7515785  2S+1 = 4.0007892
converged SCF energy = -38.5195449242636  <S^2> = 3.7515784  2S+1 = 4.0007891
converged SCF energy = -38.519522598819  <S^2> = 3.7515785  2S+1 = 4.0007892
itera=  5 step=0.98 Ef=-153.53723 L1=0.9770.
converged SCF energy = -38.5005306591828  <S^2> = 3.7515892  2S+1 = 4.0007945
converged SCF energy = -38.5005147947354  <S^2> = 3.7515893  2S+1 = 4.0007946
converged SCF energy = -38.5005380984497  <S^2> = 3.7515892  2S+1 = 4.0007945
converged SCF energy = -38.5005148227618  <S^2> = 3.7515893  2S+1 = 4.0007946
itera=  6 step=0.91 Ef=-153.52807 L1=0.9130.
converged SCF energy = -38.5157231889967  <S^2> = 3.751588  2S+1 = 4.0007939
converged SCF energy = -38.51570591425  <S^2> = 3.7515881  2S+1 = 4.000794
converged SCF energy = -38.5157307818174  <S^2> = 3.751588  2S+1 = 4.0007939
converged SCF energy = -38.5157059916909  <S^2> = 3.7515881  2S+1 = 4.000794
itera=  7 step=0.86 Ef=-153.52045 L1=0.8639.
converged SCF energy = -38.5193571264435  <S^2> = 3.7515904  2S+1 = 4.0007951
converged SCF energy = -38.5193389866075  <S^2> = 3.7515905  2S+1 = 4.0007952
converged SCF energy = -38.5193649765191  <S^2> = 3.7515904  2S+1 = 4.0007951
converged SCF energy = -38.5193390679928  <S^2> = 3.7515905  2S+1 = 4.0007952
itera=  8 step=0.82 Ef=-153.51380 L1=0.8216.
converged SCF energy = -38.5250253653473  <S^2> = 3.7515918  2S+1 = 4.0007958
converged SCF energy = -38.5250063518746  <S^2> = 3.7515919  2S+1 = 4.0007958
converged SCF energy = -38.5250334094838  <S^2> = 3.7515918  2S+1 = 4.0007958
