converged SCF energy = -154.534762088827  <S^2> = 0.25404877  2S+1 = 1.4199278
 ** Mulliken Spin Density (per AO)  **
spin_pop of  0 C 1s       -0.00079
spin_pop of  0 C 2s        0.00033
spin_pop of  0 C 3s        0.00367
spin_pop of  0 C 4s        0.01946
spin_pop of  0 C 5s        0.00530
spin_pop of  0 C 2px       0.00137
spin_pop of  0 C 2py       0.02686
spin_pop of  0 C 2pz       0.00170
spin_pop of  0 C 3px       0.00413
spin_pop of  0 C 3py       0.08268
spin_pop of  0 C 3pz       0.00518
spin_pop of  0 C 4px       0.00903
spin_pop of  0 C 4py       0.11559
spin_pop of  0 C 4pz       0.00999
spin_pop of  0 C 5px       0.00314
spin_pop of  0 C 5py       0.05991
spin_pop of  0 C 5pz       0.00398
spin_pop of  0 C 3dxy     -0.00011
spin_pop of  0 C 3dyz     -0.00004
spin_pop of  0 C 3dz^2    -0.00003
spin_pop of  0 C 3dxz     -0.00001
spin_pop of  0 C 3dx2-y2   -0.00008
spin_pop of  0 C 4dxy     -0.00192
spin_pop of  0 C 4dyz     -0.00105
spin_pop of  0 C 4dz^2    -0.00027
spin_pop of  0 C 4dxz     -0.00021
spin_pop of  0 C 4dx2-y2   -0.00055
spin_pop of  0 C 5dxy     -0.00267
spin_pop of  0 C 5dyz     -0.00062
spin_pop of  0 C 5dz^2     0.00021
spin_pop of  0 C 5dxz      0.00173
spin_pop of  0 C 5dx2-y2    0.00008
spin_pop of  0 C 4f-3     -0.00011
spin_pop of  0 C 4f-2     -0.00000
spin_pop of  0 C 4f-1     -0.00004
spin_pop of  0 C 4f+0     -0.00003
spin_pop of  0 C 4f+1     -0.00000
spin_pop of  0 C 4f+2     -0.00003
spin_pop of  0 C 4f+3     -0.00007
spin_pop of  0 C 5f-3     -0.00092
spin_pop of  0 C 5f-2      0.00016
spin_pop of  0 C 5f-1     -0.00039
spin_pop of  0 C 5f+0     -0.00011
spin_pop of  0 C 5f+1     -0.00004
spin_pop of  0 C 5f+2     -0.00014
spin_pop of  0 C 5f+3     -0.00018
spin_pop of  0 C 5g-4     -0.00004
spin_pop of  0 C 5g-3     -0.00000
spin_pop of  0 C 5g-2     -0.00001
spin_pop of  0 C 5g-1     -0.00004
spin_pop of  0 C 5g+0     -0.00001
spin_pop of  0 C 5g+1     -0.00000
spin_pop of  0 C 5g+2     -0.00000
spin_pop of  0 C 5g+3     -0.00002
spin_pop of  0 C 5g+4      0.00000
spin_pop of  1 C 1s        0.00079
spin_pop of  1 C 2s       -0.00033
spin_pop of  1 C 3s       -0.00367
spin_pop of  1 C 4s       -0.01946
spin_pop of  1 C 5s       -0.00530
spin_pop of  1 C 2px      -0.00137
spin_pop of  1 C 2py      -0.02686
spin_pop of  1 C 2pz      -0.00169
spin_pop of  1 C 3px      -0.00413
spin_pop of  1 C 3py      -0.08268
spin_pop of  1 C 3pz      -0.00518
spin_pop of  1 C 4px      -0.00903
spin_pop of  1 C 4py      -0.11559
spin_pop of  1 C 4pz      -0.00999
spin_pop of  1 C 5px      -0.00314
spin_pop of  1 C 5py      -0.05991
spin_pop of  1 C 5pz      -0.00398
spin_pop of  1 C 3dxy      0.00011
spin_pop of  1 C 3dyz      0.00004
spin_pop of  1 C 3dz^2     0.00003
spin_pop of  1 C 3dxz      0.00001
spin_pop of  1 C 3dx2-y2    0.00008
spin_pop of  1 C 4dxy      0.00192
spin_pop of  1 C 4dyz      0.00105
spin_pop of  1 C 4dz^2     0.00027
spin_pop of  1 C 4dxz      0.00021
spin_pop of  1 C 4dx2-y2    0.00055
spin_pop of  1 C 5dxy      0.00268
spin_pop of  1 C 5dyz      0.00062
spin_pop of  1 C 5dz^2    -0.00021
spin_pop of  1 C 5dxz     -0.00173
spin_pop of  1 C 5dx2-y2   -0.00008
spin_pop of  1 C 4f-3      0.00011
spin_pop of  1 C 4f-2      0.00000
spin_pop of  1 C 4f-1      0.00004
spin_pop of  1 C 4f+0      0.00003
spin_pop of  1 C 4f+1      0.00000
spin_pop of  1 C 4f+2      0.00003
spin_pop of  1 C 4f+3      0.00007
spin_pop of  1 C 5f-3      0.00092
spin_pop of  1 C 5f-2     -0.00016
spin_pop of  1 C 5f-1      0.00039
spin_pop of  1 C 5f+0      0.00011
spin_pop of  1 C 5f+1      0.00004
spin_pop of  1 C 5f+2      0.00014
spin_pop of  1 C 5f+3      0.00018
spin_pop of  1 C 5g-4      0.00004
spin_pop of  1 C 5g-3      0.00000
spin_pop of  1 C 5g-2      0.00001
spin_pop of  1 C 5g-1      0.00004
spin_pop of  1 C 5g+0      0.00001
spin_pop of  1 C 5g+1      0.00000
spin_pop of  1 C 5g+2      0.00000
spin_pop of  1 C 5g+3      0.00002
spin_pop of  1 C 5g+4     -0.00000
spin_pop of  2 C 1s       -0.00079
spin_pop of  2 C 2s        0.00033
spin_pop of  2 C 3s        0.00367
spin_pop of  2 C 4s        0.01946
spin_pop of  2 C 5s        0.00530
spin_pop of  2 C 2px       0.00137
spin_pop of  2 C 2py       0.02686
spin_pop of  2 C 2pz       0.00170
spin_pop of  2 C 3px       0.00413
spin_pop of  2 C 3py       0.08268
spin_pop of  2 C 3pz       0.00518
spin_pop of  2 C 4px       0.00903
spin_pop of  2 C 4py       0.11559
spin_pop of  2 C 4pz       0.00999
spin_pop of  2 C 5px       0.00314
spin_pop of  2 C 5py       0.05991
spin_pop of  2 C 5pz       0.00398
spin_pop of  2 C 3dxy     -0.00011
spin_pop of  2 C 3dyz     -0.00004
spin_pop of  2 C 3dz^2    -0.00003
spin_pop of  2 C 3dxz     -0.00001
spin_pop of  2 C 3dx2-y2   -0.00008
spin_pop of  2 C 4dxy     -0.00192
spin_pop of  2 C 4dyz     -0.00105
spin_pop of  2 C 4dz^2    -0.00027
spin_pop of  2 C 4dxz     -0.00021
spin_pop of  2 C 4dx2-y2   -0.00055
spin_pop of  2 C 5dxy     -0.00267
spin_pop of  2 C 5dyz     -0.00062
spin_pop of  2 C 5dz^2     0.00021
spin_pop of  2 C 5dxz      0.00173
spin_pop of  2 C 5dx2-y2    0.00008
spin_pop of  2 C 4f-3     -0.00011
spin_pop of  2 C 4f-2     -0.00000
spin_pop of  2 C 4f-1     -0.00004
spin_pop of  2 C 4f+0     -0.00003
spin_pop of  2 C 4f+1     -0.00000
spin_pop of  2 C 4f+2     -0.00003
spin_pop of  2 C 4f+3     -0.00007
spin_pop of  2 C 5f-3     -0.00092
spin_pop of  2 C 5f-2      0.00016
spin_pop of  2 C 5f-1     -0.00039
spin_pop of  2 C 5f+0     -0.00011
spin_pop of  2 C 5f+1     -0.00004
spin_pop of  2 C 5f+2     -0.00014
spin_pop of  2 C 5f+3     -0.00018
spin_pop of  2 C 5g-4     -0.00004
spin_pop of  2 C 5g-3     -0.00000
spin_pop of  2 C 5g-2     -0.00001
spin_pop of  2 C 5g-1     -0.00004
spin_pop of  2 C 5g+0     -0.00001
spin_pop of  2 C 5g+1     -0.00000
spin_pop of  2 C 5g+2     -0.00000
spin_pop of  2 C 5g+3     -0.00002
spin_pop of  2 C 5g+4      0.00000
spin_pop of  3 C 1s        0.00079
spin_pop of  3 C 2s       -0.00033
spin_pop of  3 C 3s       -0.00367
spin_pop of  3 C 4s       -0.01946
spin_pop of  3 C 5s       -0.00530
spin_pop of  3 C 2px      -0.00137
spin_pop of  3 C 2py      -0.02686
spin_pop of  3 C 2pz      -0.00169
spin_pop of  3 C 3px      -0.00413
spin_pop of  3 C 3py      -0.08268
spin_pop of  3 C 3pz      -0.00518
spin_pop of  3 C 4px      -0.00903
spin_pop of  3 C 4py      -0.11559
spin_pop of  3 C 4pz      -0.00999
spin_pop of  3 C 5px      -0.00314
spin_pop of  3 C 5py      -0.05991
spin_pop of  3 C 5pz      -0.00398
spin_pop of  3 C 3dxy      0.00011
spin_pop of  3 C 3dyz      0.00004
spin_pop of  3 C 3dz^2     0.00003
spin_pop of  3 C 3dxz      0.00001
spin_pop of  3 C 3dx2-y2    0.00008
spin_pop of  3 C 4dxy      0.00192
spin_pop of  3 C 4dyz      0.00105
spin_pop of  3 C 4dz^2     0.00027
spin_pop of  3 C 4dxz      0.00021
spin_pop of  3 C 4dx2-y2    0.00055
spin_pop of  3 C 5dxy      0.00268
spin_pop of  3 C 5dyz      0.00062
spin_pop of  3 C 5dz^2    -0.00021
spin_pop of  3 C 5dxz     -0.00173
spin_pop of  3 C 5dx2-y2   -0.00008
spin_pop of  3 C 4f-3      0.00011
spin_pop of  3 C 4f-2      0.00000
spin_pop of  3 C 4f-1      0.00004
spin_pop of  3 C 4f+0      0.00003
spin_pop of  3 C 4f+1      0.00000
spin_pop of  3 C 4f+2      0.00003
spin_pop of  3 C 4f+3      0.00007
spin_pop of  3 C 5f-3      0.00092
spin_pop of  3 C 5f-2     -0.00016
spin_pop of  3 C 5f-1      0.00039
spin_pop of  3 C 5f+0      0.00011
spin_pop of  3 C 5f+1      0.00004
spin_pop of  3 C 5f+2      0.00014
spin_pop of  3 C 5f+3      0.00018
spin_pop of  3 C 5g-4      0.00004
spin_pop of  3 C 5g-3      0.00000
spin_pop of  3 C 5g-2      0.00001
spin_pop of  3 C 5g-1      0.00004
spin_pop of  3 C 5g+0      0.00001
spin_pop of  3 C 5g+1      0.00000
spin_pop of  3 C 5g+2      0.00000
spin_pop of  3 C 5g+3      0.00002
spin_pop of  3 C 5g+4     -0.00000
spin_pop of  4 H 1s       -0.00069
spin_pop of  4 H 2s       -0.00280
spin_pop of  4 H 3s       -0.00880
spin_pop of  4 H 4s       -0.00355
spin_pop of  4 H 2px       0.00001
spin_pop of  4 H 2py       0.00010
spin_pop of  4 H 2pz       0.00001
spin_pop of  4 H 3px       0.00008
spin_pop of  4 H 3py       0.00137
spin_pop of  4 H 3pz       0.00005
spin_pop of  4 H 4px      -0.00002
spin_pop of  4 H 4py       0.00503
spin_pop of  4 H 4pz      -0.00027
spin_pop of  4 H 3dxy      0.00002
spin_pop of  4 H 3dyz      0.00001
spin_pop of  4 H 3dz^2     0.00000
spin_pop of  4 H 3dxz      0.00000
spin_pop of  4 H 3dx2-y2    0.00000
spin_pop of  4 H 4dxy      0.00040
spin_pop of  4 H 4dyz      0.00042
spin_pop of  4 H 4dz^2    -0.00003
spin_pop of  4 H 4dxz      0.00002
spin_pop of  4 H 4dx2-y2   -0.00001
spin_pop of  4 H 4f-3      0.00001
spin_pop of  4 H 4f-2      0.00004
spin_pop of  4 H 4f-1      0.00001
spin_pop of  4 H 4f+0      0.00000
spin_pop of  4 H 4f+1      0.00000
spin_pop of  4 H 4f+2      0.00000
spin_pop of  4 H 4f+3      0.00000
spin_pop of  5 H 1s        0.00069
spin_pop of  5 H 2s        0.00280
spin_pop of  5 H 3s        0.00880
spin_pop of  5 H 4s        0.00355
spin_pop of  5 H 2px      -0.00001
spin_pop of  5 H 2py      -0.00010
spin_pop of  5 H 2pz      -0.00001
spin_pop of  5 H 3px      -0.00008
spin_pop of  5 H 3py      -0.00137
spin_pop of  5 H 3pz      -0.00005
spin_pop of  5 H 4px       0.00002
spin_pop of  5 H 4py      -0.00503
spin_pop of  5 H 4pz       0.00027
spin_pop of  5 H 3dxy     -0.00002
spin_pop of  5 H 3dyz     -0.00001
spin_pop of  5 H 3dz^2    -0.00000
spin_pop of  5 H 3dxz     -0.00000
spin_pop of  5 H 3dx2-y2   -0.00000
spin_pop of  5 H 4dxy     -0.00040
spin_pop of  5 H 4dyz     -0.00042
spin_pop of  5 H 4dz^2     0.00003
spin_pop of  5 H 4dxz     -0.00002
spin_pop of  5 H 4dx2-y2    0.00001
spin_pop of  5 H 4f-3     -0.00001
spin_pop of  5 H 4f-2     -0.00004
spin_pop of  5 H 4f-1     -0.00001
spin_pop of  5 H 4f+0     -0.00000
spin_pop of  5 H 4f+1     -0.00000
spin_pop of  5 H 4f+2     -0.00000
spin_pop of  5 H 4f+3     -0.00000
spin_pop of  6 H 1s       -0.00069
spin_pop of  6 H 2s       -0.00280
spin_pop of  6 H 3s       -0.00880
spin_pop of  6 H 4s       -0.00355
spin_pop of  6 H 2px       0.00001
spin_pop of  6 H 2py       0.00010
spin_pop of  6 H 2pz       0.00001
spin_pop of  6 H 3px       0.00008
spin_pop of  6 H 3py       0.00137
spin_pop of  6 H 3pz       0.00005
spin_pop of  6 H 4px      -0.00002
spin_pop of  6 H 4py       0.00503
spin_pop of  6 H 4pz      -0.00027
spin_pop of  6 H 3dxy      0.00002
spin_pop of  6 H 3dyz      0.00001
spin_pop of  6 H 3dz^2     0.00000
spin_pop of  6 H 3dxz      0.00000
spin_pop of  6 H 3dx2-y2    0.00000
spin_pop of  6 H 4dxy      0.00040
spin_pop of  6 H 4dyz      0.00042
spin_pop of  6 H 4dz^2    -0.00003
spin_pop of  6 H 4dxz      0.00002
spin_pop of  6 H 4dx2-y2   -0.00001
spin_pop of  6 H 4f-3      0.00001
spin_pop of  6 H 4f-2      0.00004
spin_pop of  6 H 4f-1      0.00001
spin_pop of  6 H 4f+0      0.00000
spin_pop of  6 H 4f+1      0.00000
spin_pop of  6 H 4f+2      0.00000
spin_pop of  6 H 4f+3      0.00000
