converged SCF energy = -154.532750595924  <S^2> = 0.68995944  2S+1 = 1.9390301
 ** Mulliken Spin Density (per AO)  **
spin_pop of  0 C 1s       -0.00131
spin_pop of  0 C 2s        0.00055
spin_pop of  0 C 3s        0.00611
spin_pop of  0 C 4s        0.03196
spin_pop of  0 C 5s        0.00871
spin_pop of  0 C 2px       0.00232
spin_pop of  0 C 2py       0.04424
spin_pop of  0 C 2pz       0.00267
spin_pop of  0 C 3px       0.00704
spin_pop of  0 C 3py       0.13614
spin_pop of  0 C 3pz       0.00818
spin_pop of  0 C 4px       0.01482
spin_pop of  0 C 4py       0.19016
spin_pop of  0 C 4pz       0.01591
spin_pop of  0 C 5px       0.00522
spin_pop of  0 C 5py       0.09847
spin_pop of  0 C 5pz       0.00616
spin_pop of  0 C 3dxy     -0.00015
spin_pop of  0 C 3dyz     -0.00008
spin_pop of  0 C 3dz^2    -0.00005
spin_pop of  0 C 3dxz     -0.00002
spin_pop of  0 C 3dx2-y2   -0.00013
spin_pop of  0 C 4dxy     -0.00286
spin_pop of  0 C 4dyz     -0.00192
spin_pop of  0 C 4dz^2    -0.00046
spin_pop of  0 C 4dxz     -0.00032
spin_pop of  0 C 4dx2-y2   -0.00092
spin_pop of  0 C 5dxy     -0.00382
spin_pop of  0 C 5dyz     -0.00156
spin_pop of  0 C 5dz^2     0.00040
spin_pop of  0 C 5dxz      0.00283
spin_pop of  0 C 5dx2-y2    0.00009
spin_pop of  0 C 4f-3     -0.00016
spin_pop of  0 C 4f-2      0.00000
spin_pop of  0 C 4f-1     -0.00008
spin_pop of  0 C 4f+0     -0.00006
spin_pop of  0 C 4f+1     -0.00001
spin_pop of  0 C 4f+2     -0.00005
spin_pop of  0 C 4f+3     -0.00011
spin_pop of  0 C 5f-3     -0.00134
spin_pop of  0 C 5f-2      0.00027
spin_pop of  0 C 5f-1     -0.00080
spin_pop of  0 C 5f+0     -0.00017
spin_pop of  0 C 5f+1     -0.00006
spin_pop of  0 C 5f+2     -0.00024
spin_pop of  0 C 5f+3     -0.00031
spin_pop of  0 C 5g-4     -0.00006
spin_pop of  0 C 5g-3     -0.00001
spin_pop of  0 C 5g-2     -0.00001
spin_pop of  0 C 5g-1     -0.00006
spin_pop of  0 C 5g+0     -0.00001
spin_pop of  0 C 5g+1     -0.00001
spin_pop of  0 C 5g+2     -0.00001
spin_pop of  0 C 5g+3     -0.00002
spin_pop of  0 C 5g+4      0.00000
spin_pop of  1 C 1s        0.00131
spin_pop of  1 C 2s       -0.00055
spin_pop of  1 C 3s       -0.00611
spin_pop of  1 C 4s       -0.03196
spin_pop of  1 C 5s       -0.00871
spin_pop of  1 C 2px      -0.00232
spin_pop of  1 C 2py      -0.04424
spin_pop of  1 C 2pz      -0.00267
spin_pop of  1 C 3px      -0.00704
spin_pop of  1 C 3py      -0.13613
spin_pop of  1 C 3pz      -0.00817
spin_pop of  1 C 4px      -0.01482
spin_pop of  1 C 4py      -0.19016
spin_pop of  1 C 4pz      -0.01591
spin_pop of  1 C 5px      -0.00522
spin_pop of  1 C 5py      -0.09847
spin_pop of  1 C 5pz      -0.00617
spin_pop of  1 C 3dxy      0.00015
spin_pop of  1 C 3dyz      0.00008
spin_pop of  1 C 3dz^2     0.00005
spin_pop of  1 C 3dxz      0.00002
spin_pop of  1 C 3dx2-y2    0.00013
spin_pop of  1 C 4dxy      0.00287
spin_pop of  1 C 4dyz      0.00191
spin_pop of  1 C 4dz^2     0.00046
spin_pop of  1 C 4dxz      0.00032
spin_pop of  1 C 4dx2-y2    0.00092
spin_pop of  1 C 5dxy      0.00383
spin_pop of  1 C 5dyz      0.00156
spin_pop of  1 C 5dz^2    -0.00040
spin_pop of  1 C 5dxz     -0.00283
spin_pop of  1 C 5dx2-y2   -0.00009
spin_pop of  1 C 4f-3      0.00016
spin_pop of  1 C 4f-2     -0.00000
spin_pop of  1 C 4f-1      0.00008
spin_pop of  1 C 4f+0      0.00006
spin_pop of  1 C 4f+1      0.00001
spin_pop of  1 C 4f+2      0.00005
spin_pop of  1 C 4f+3      0.00011
spin_pop of  1 C 5f-3      0.00134
spin_pop of  1 C 5f-2     -0.00027
spin_pop of  1 C 5f-1      0.00080
spin_pop of  1 C 5f+0      0.00017
spin_pop of  1 C 5f+1      0.00006
spin_pop of  1 C 5f+2      0.00024
spin_pop of  1 C 5f+3      0.00031
spin_pop of  1 C 5g-4      0.00006
spin_pop of  1 C 5g-3      0.00001
spin_pop of  1 C 5g-2      0.00001
spin_pop of  1 C 5g-1      0.00006
spin_pop of  1 C 5g+0      0.00001
spin_pop of  1 C 5g+1      0.00001
spin_pop of  1 C 5g+2      0.00001
spin_pop of  1 C 5g+3      0.00002
spin_pop of  1 C 5g+4     -0.00000
spin_pop of  2 C 1s       -0.00131
spin_pop of  2 C 2s        0.00055
spin_pop of  2 C 3s        0.00611
spin_pop of  2 C 4s        0.03196
spin_pop of  2 C 5s        0.00871
spin_pop of  2 C 2px       0.00232
spin_pop of  2 C 2py       0.04424
spin_pop of  2 C 2pz       0.00267
spin_pop of  2 C 3px       0.00704
spin_pop of  2 C 3py       0.13613
spin_pop of  2 C 3pz       0.00818
spin_pop of  2 C 4px       0.01482
spin_pop of  2 C 4py       0.19016
spin_pop of  2 C 4pz       0.01591
spin_pop of  2 C 5px       0.00522
spin_pop of  2 C 5py       0.09847
spin_pop of  2 C 5pz       0.00616
spin_pop of  2 C 3dxy     -0.00015
spin_pop of  2 C 3dyz     -0.00008
spin_pop of  2 C 3dz^2    -0.00005
spin_pop of  2 C 3dxz     -0.00002
spin_pop of  2 C 3dx2-y2   -0.00013
spin_pop of  2 C 4dxy     -0.00286
spin_pop of  2 C 4dyz     -0.00192
spin_pop of  2 C 4dz^2    -0.00046
spin_pop of  2 C 4dxz     -0.00032
spin_pop of  2 C 4dx2-y2   -0.00092
spin_pop of  2 C 5dxy     -0.00382
spin_pop of  2 C 5dyz     -0.00156
spin_pop of  2 C 5dz^2     0.00040
spin_pop of  2 C 5dxz      0.00283
spin_pop of  2 C 5dx2-y2    0.00009
spin_pop of  2 C 4f-3     -0.00016
spin_pop of  2 C 4f-2      0.00000
spin_pop of  2 C 4f-1     -0.00008
spin_pop of  2 C 4f+0     -0.00006
spin_pop of  2 C 4f+1     -0.00001
spin_pop of  2 C 4f+2     -0.00005
spin_pop of  2 C 4f+3     -0.00011
spin_pop of  2 C 5f-3     -0.00134
spin_pop of  2 C 5f-2      0.00027
spin_pop of  2 C 5f-1     -0.00080
spin_pop of  2 C 5f+0     -0.00017
spin_pop of  2 C 5f+1     -0.00006
spin_pop of  2 C 5f+2     -0.00024
spin_pop of  2 C 5f+3     -0.00031
spin_pop of  2 C 5g-4     -0.00006
spin_pop of  2 C 5g-3     -0.00001
spin_pop of  2 C 5g-2     -0.00001
spin_pop of  2 C 5g-1     -0.00006
spin_pop of  2 C 5g+0     -0.00001
spin_pop of  2 C 5g+1     -0.00001
spin_pop of  2 C 5g+2     -0.00001
spin_pop of  2 C 5g+3     -0.00002
spin_pop of  2 C 5g+4      0.00000
spin_pop of  3 C 1s        0.00131
spin_pop of  3 C 2s       -0.00055
spin_pop of  3 C 3s       -0.00611
spin_pop of  3 C 4s       -0.03196
spin_pop of  3 C 5s       -0.00871
spin_pop of  3 C 2px      -0.00232
spin_pop of  3 C 2py      -0.04424
spin_pop of  3 C 2pz      -0.00267
spin_pop of  3 C 3px      -0.00704
spin_pop of  3 C 3py      -0.13614
spin_pop of  3 C 3pz      -0.00817
spin_pop of  3 C 4px      -0.01482
spin_pop of  3 C 4py      -0.19016
spin_pop of  3 C 4pz      -0.01591
spin_pop of  3 C 5px      -0.00522
spin_pop of  3 C 5py      -0.09846
spin_pop of  3 C 5pz      -0.00617
spin_pop of  3 C 3dxy      0.00015
spin_pop of  3 C 3dyz      0.00008
spin_pop of  3 C 3dz^2     0.00005
spin_pop of  3 C 3dxz      0.00002
spin_pop of  3 C 3dx2-y2    0.00013
spin_pop of  3 C 4dxy      0.00287
spin_pop of  3 C 4dyz      0.00191
spin_pop of  3 C 4dz^2     0.00046
spin_pop of  3 C 4dxz      0.00032
spin_pop of  3 C 4dx2-y2    0.00092
spin_pop of  3 C 5dxy      0.00383
spin_pop of  3 C 5dyz      0.00156
spin_pop of  3 C 5dz^2    -0.00040
spin_pop of  3 C 5dxz     -0.00283
spin_pop of  3 C 5dx2-y2   -0.00009
spin_pop of  3 C 4f-3      0.00016
spin_pop of  3 C 4f-2     -0.00000
spin_pop of  3 C 4f-1      0.00008
spin_pop of  3 C 4f+0      0.00006
spin_pop of  3 C 4f+1      0.00001
spin_pop of  3 C 4f+2      0.00005
spin_pop of  3 C 4f+3      0.00011
spin_pop of  3 C 5f-3      0.00134
spin_pop of  3 C 5f-2     -0.00027
spin_pop of  3 C 5f-1      0.00080
spin_pop of  3 C 5f+0      0.00017
spin_pop of  3 C 5f+1      0.00006
spin_pop of  3 C 5f+2      0.00024
spin_pop of  3 C 5f+3      0.00031
spin_pop of  3 C 5g-4      0.00006
spin_pop of  3 C 5g-3      0.00001
spin_pop of  3 C 5g-2      0.00001
spin_pop of  3 C 5g-1      0.00006
spin_pop of  3 C 5g+0      0.00001
spin_pop of  3 C 5g+1      0.00001
spin_pop of  3 C 5g+2      0.00001
spin_pop of  3 C 5g+3      0.00002
spin_pop of  3 C 5g+4     -0.00000
spin_pop of  4 H 1s       -0.00114
spin_pop of  4 H 2s       -0.00461
spin_pop of  4 H 3s       -0.01462
spin_pop of  4 H 4s       -0.00585
spin_pop of  4 H 2px       0.00002
spin_pop of  4 H 2py       0.00016
spin_pop of  4 H 2pz       0.00002
spin_pop of  4 H 3px       0.00013
spin_pop of  4 H 3py       0.00226
spin_pop of  4 H 3pz       0.00010
spin_pop of  4 H 4px      -0.00010
spin_pop of  4 H 4py       0.00835
spin_pop of  4 H 4pz      -0.00037
spin_pop of  4 H 3dxy      0.00003
