converged SCF energy = -154.531134654197  <S^2> = 1.0342802  2S+1 = 2.2665217
 ** Mulliken Spin Density (per AO)  **
spin_pop of  0 C 1s       -0.00161
spin_pop of  0 C 2s        0.00068
spin_pop of  0 C 3s        0.00755
spin_pop of  0 C 4s        0.03900
spin_pop of  0 C 5s        0.01065
spin_pop of  0 C 2px       0.00302
spin_pop of  0 C 2py       0.05413
spin_pop of  0 C 2pz       0.00302
spin_pop of  0 C 3px       0.00925
spin_pop of  0 C 3py       0.16653
spin_pop of  0 C 3pz       0.00926
spin_pop of  0 C 4px       0.01851
spin_pop of  0 C 4py       0.23248
spin_pop of  0 C 4pz       0.01852
spin_pop of  0 C 5px       0.00680
spin_pop of  0 C 5py       0.12030
spin_pop of  0 C 5pz       0.00680
spin_pop of  0 C 3dxy     -0.00014
spin_pop of  0 C 3dyz     -0.00014
spin_pop of  0 C 3dz^2    -0.00007
spin_pop of  0 C 3dxz     -0.00003
spin_pop of  0 C 3dx2-y2   -0.00014
spin_pop of  0 C 4dxy     -0.00286
spin_pop of  0 C 4dyz     -0.00287
spin_pop of  0 C 4dz^2    -0.00063
spin_pop of  0 C 4dxz     -0.00037
spin_pop of  0 C 4dx2-y2   -0.00110
spin_pop of  0 C 5dxy     -0.00327
spin_pop of  0 C 5dyz     -0.00328
spin_pop of  0 C 5dz^2     0.00059
spin_pop of  0 C 5dxz      0.00344
spin_pop of  0 C 5dx2-y2   -0.00001
spin_pop of  0 C 4f-3     -0.00013
spin_pop of  0 C 4f-2      0.00000
spin_pop of  0 C 4f-1     -0.00015
spin_pop of  0 C 4f+0     -0.00008
spin_pop of  0 C 4f+1     -0.00001
spin_pop of  0 C 4f+2     -0.00006
spin_pop of  0 C 4f+3     -0.00012
spin_pop of  0 C 5f-3     -0.00118
spin_pop of  0 C 5f-2      0.00034
spin_pop of  0 C 5f-1     -0.00141
spin_pop of  0 C 5f+0     -0.00019
spin_pop of  0 C 5f+1     -0.00006
spin_pop of  0 C 5f+2     -0.00030
spin_pop of  0 C 5f+3     -0.00043
spin_pop of  0 C 5g-4     -0.00008
spin_pop of  0 C 5g-3     -0.00000
spin_pop of  0 C 5g-2     -0.00001
spin_pop of  0 C 5g-1     -0.00009
spin_pop of  0 C 5g+0     -0.00001
spin_pop of  0 C 5g+1     -0.00001
spin_pop of  0 C 5g+2     -0.00001
spin_pop of  0 C 5g+3     -0.00003
spin_pop of  0 C 5g+4      0.00000
spin_pop of  1 C 1s        0.00161
spin_pop of  1 C 2s       -0.00068
spin_pop of  1 C 3s       -0.00755
spin_pop of  1 C 4s       -0.03900
spin_pop of  1 C 5s       -0.01065
spin_pop of  1 C 2px      -0.00302
spin_pop of  1 C 2py      -0.05413
spin_pop of  1 C 2pz      -0.00302
spin_pop of  1 C 3px      -0.00926
spin_pop of  1 C 3py      -0.16653
spin_pop of  1 C 3pz      -0.00925
spin_pop of  1 C 4px      -0.01852
spin_pop of  1 C 4py      -0.23248
spin_pop of  1 C 4pz      -0.01852
spin_pop of  1 C 5px      -0.00680
spin_pop of  1 C 5py      -0.12030
spin_pop of  1 C 5pz      -0.00680
spin_pop of  1 C 3dxy      0.00014
spin_pop of  1 C 3dyz      0.00014
spin_pop of  1 C 3dz^2     0.00007
spin_pop of  1 C 3dxz      0.00003
spin_pop of  1 C 3dx2-y2    0.00014
spin_pop of  1 C 4dxy      0.00287
spin_pop of  1 C 4dyz      0.00286
spin_pop of  1 C 4dz^2     0.00063
spin_pop of  1 C 4dxz      0.00037
spin_pop of  1 C 4dx2-y2    0.00110
spin_pop of  1 C 5dxy      0.00328
spin_pop of  1 C 5dyz      0.00327
spin_pop of  1 C 5dz^2    -0.00059
spin_pop of  1 C 5dxz     -0.00344
spin_pop of  1 C 5dx2-y2    0.00001
spin_pop of  1 C 4f-3      0.00013
spin_pop of  1 C 4f-2     -0.00000
spin_pop of  1 C 4f-1      0.00015
spin_pop of  1 C 4f+0      0.00008
spin_pop of  1 C 4f+1      0.00001
spin_pop of  1 C 4f+2      0.00006
spin_pop of  1 C 4f+3      0.00012
spin_pop of  1 C 5f-3      0.00118
spin_pop of  1 C 5f-2     -0.00034
spin_pop of  1 C 5f-1      0.00141
spin_pop of  1 C 5f+0      0.00019
spin_pop of  1 C 5f+1      0.00006
spin_pop of  1 C 5f+2      0.00030
spin_pop of  1 C 5f+3      0.00043
spin_pop of  1 C 5g-4      0.00008
spin_pop of  1 C 5g-3      0.00000
spin_pop of  1 C 5g-2      0.00001
spin_pop of  1 C 5g-1      0.00009
spin_pop of  1 C 5g+0      0.00001
spin_pop of  1 C 5g+1      0.00001
spin_pop of  1 C 5g+2      0.00001
spin_pop of  1 C 5g+3      0.00003
spin_pop of  1 C 5g+4     -0.00000
spin_pop of  2 C 1s       -0.00161
spin_pop of  2 C 2s        0.00068
spin_pop of  2 C 3s        0.00755
spin_pop of  2 C 4s        0.03900
spin_pop of  2 C 5s        0.01065
spin_pop of  2 C 2px       0.00302
spin_pop of  2 C 2py       0.05413
spin_pop of  2 C 2pz       0.00302
spin_pop of  2 C 3px       0.00925
spin_pop of  2 C 3py       0.16653
spin_pop of  2 C 3pz       0.00926
spin_pop of  2 C 4px       0.01851
spin_pop of  2 C 4py       0.23248
spin_pop of  2 C 4pz       0.01852
spin_pop of  2 C 5px       0.00680
spin_pop of  2 C 5py       0.12030
spin_pop of  2 C 5pz       0.00680
spin_pop of  2 C 3dxy     -0.00014
spin_pop of  2 C 3dyz     -0.00014
spin_pop of  2 C 3dz^2    -0.00007
spin_pop of  2 C 3dxz     -0.00003
spin_pop of  2 C 3dx2-y2   -0.00014
spin_pop of  2 C 4dxy     -0.00286
spin_pop of  2 C 4dyz     -0.00287
spin_pop of  2 C 4dz^2    -0.00063
spin_pop of  2 C 4dxz     -0.00037
spin_pop of  2 C 4dx2-y2   -0.00110
spin_pop of  2 C 5dxy     -0.00327
spin_pop of  2 C 5dyz     -0.00328
spin_pop of  2 C 5dz^2     0.00059
spin_pop of  2 C 5dxz      0.00344
spin_pop of  2 C 5dx2-y2   -0.00001
spin_pop of  2 C 4f-3     -0.00013
spin_pop of  2 C 4f-2      0.00000
spin_pop of  2 C 4f-1     -0.00015
spin_pop of  2 C 4f+0     -0.00008
spin_pop of  2 C 4f+1     -0.00001
spin_pop of  2 C 4f+2     -0.00006
spin_pop of  2 C 4f+3     -0.00012
spin_pop of  2 C 5f-3     -0.00118
spin_pop of  2 C 5f-2      0.00034
spin_pop of  2 C 5f-1     -0.00141
spin_pop of  2 C 5f+0     -0.00019
spin_pop of  2 C 5f+1     -0.00006
spin_pop of  2 C 5f+2     -0.00030
spin_pop of  2 C 5f+3     -0.00043
spin_pop of  2 C 5g-4     -0.00008
spin_pop of  2 C 5g-3     -0.00000
spin_pop of  2 C 5g-2     -0.00001
spin_pop of  2 C 5g-1     -0.00009
spin_pop of  2 C 5g+0     -0.00001
spin_pop of  2 C 5g+1     -0.00001
spin_pop of  2 C 5g+2     -0.00001
spin_pop of  2 C 5g+3     -0.00003
spin_pop of  2 C 5g+4      0.00000
spin_pop of  3 C 1s        0.00161
spin_pop of  3 C 2s       -0.00068
spin_pop of  3 C 3s       -0.00754
spin_pop of  3 C 4s       -0.03900
spin_pop of  3 C 5s       -0.01065
