converged SCF energy = -154.532045896433  <S^2> = 0.84071968  2S+1 = 2.0887505
 ** Mulliken Spin Density (per AO)  **
spin_pop of  0 C 1s       -0.00145
spin_pop of  0 C 2s        0.00061
spin_pop of  0 C 3s        0.00677
spin_pop of  0 C 4s        0.03523
spin_pop of  0 C 5s        0.00961
spin_pop of  0 C 2px       0.00260
spin_pop of  0 C 2py       0.04882
spin_pop of  0 C 2pz       0.00289
spin_pop of  0 C 3px       0.00790
spin_pop of  0 C 3py       0.15022
spin_pop of  0 C 3pz       0.00884
spin_pop of  0 C 4px       0.01639
spin_pop of  0 C 4py       0.20977
spin_pop of  0 C 4pz       0.01730
spin_pop of  0 C 5px       0.00582
spin_pop of  0 C 5py       0.10859
spin_pop of  0 C 5pz       0.00661
spin_pop of  0 C 3dxy     -0.00016
spin_pop of  0 C 3dyz     -0.00010
spin_pop of  0 C 3dz^2    -0.00006
spin_pop of  0 C 3dxz     -0.00003
spin_pop of  0 C 3dx2-y2   -0.00014
spin_pop of  0 C 4dxy     -0.00300
spin_pop of  0 C 4dyz     -0.00222
spin_pop of  0 C 4dz^2    -0.00053
spin_pop of  0 C 4dxz     -0.00035
spin_pop of  0 C 4dx2-y2   -0.00101
spin_pop of  0 C 5dxy     -0.00390
spin_pop of  0 C 5dyz     -0.00203
spin_pop of  0 C 5dz^2     0.00046
spin_pop of  0 C 5dxz      0.00311
spin_pop of  0 C 5dx2-y2    0.00007
spin_pop of  0 C 4f-3     -0.00016
spin_pop of  0 C 4f-2      0.00000
spin_pop of  0 C 4f-1     -0.00010
spin_pop of  0 C 4f+0     -0.00006
spin_pop of  0 C 4f+1     -0.00001
spin_pop of  0 C 4f+2     -0.00005
spin_pop of  0 C 4f+3     -0.00012
spin_pop of  0 C 5f-3     -0.00137
spin_pop of  0 C 5f-2      0.00030
spin_pop of  0 C 5f-1     -0.00097
spin_pop of  0 C 5f+0     -0.00019
spin_pop of  0 C 5f+1     -0.00007
spin_pop of  0 C 5f+2     -0.00026
spin_pop of  0 C 5f+3     -0.00036
spin_pop of  0 C 5g-4     -0.00007
spin_pop of  0 C 5g-3     -0.00001
spin_pop of  0 C 5g-2     -0.00001
spin_pop of  0 C 5g-1     -0.00007
spin_pop of  0 C 5g+0     -0.00001
spin_pop of  0 C 5g+1     -0.00001
spin_pop of  0 C 5g+2     -0.00001
spin_pop of  0 C 5g+3     -0.00003
spin_pop of  0 C 5g+4      0.00000
spin_pop of  1 C 1s        0.00145
spin_pop of  1 C 2s       -0.00061
spin_pop of  1 C 3s       -0.00677
spin_pop of  1 C 4s       -0.03523
spin_pop of  1 C 5s       -0.00961
spin_pop of  1 C 2px      -0.00260
spin_pop of  1 C 2py      -0.04882
spin_pop of  1 C 2pz      -0.00288
spin_pop of  1 C 3px      -0.00791
spin_pop of  1 C 3py      -0.15022
spin_pop of  1 C 3pz      -0.00884
spin_pop of  1 C 4px      -0.01639
spin_pop of  1 C 4py      -0.20977
spin_pop of  1 C 4pz      -0.01730
spin_pop of  1 C 5px      -0.00583
spin_pop of  1 C 5py      -0.10859
spin_pop of  1 C 5pz      -0.00661
spin_pop of  1 C 3dxy      0.00016
spin_pop of  1 C 3dyz      0.00010
spin_pop of  1 C 3dz^2     0.00006
spin_pop of  1 C 3dxz      0.00003
spin_pop of  1 C 3dx2-y2    0.00014
spin_pop of  1 C 4dxy      0.00301
spin_pop of  1 C 4dyz      0.00222
spin_pop of  1 C 4dz^2     0.00053
spin_pop of  1 C 4dxz      0.00035
spin_pop of  1 C 4dx2-y2    0.00101
spin_pop of  1 C 5dxy      0.00391
spin_pop of  1 C 5dyz      0.00202
spin_pop of  1 C 5dz^2    -0.00046
spin_pop of  1 C 5dxz     -0.00311
spin_pop of  1 C 5dx2-y2   -0.00007
spin_pop of  1 C 4f-3      0.00016
spin_pop of  1 C 4f-2     -0.00000
spin_pop of  1 C 4f-1      0.00010
spin_pop of  1 C 4f+0      0.00006
spin_pop of  1 C 4f+1      0.00001
spin_pop of  1 C 4f+2      0.00005
spin_pop of  1 C 4f+3      0.00012
