converged SCF energy = -154.531236020509  <S^2> = 1.0128122  2S+1 = 2.2474984
 ** Mulliken Spin Density (per AO)  **
spin_pop of  3 C 5dxy      0.00359
spin_pop of  3 C 5dyz      0.00290
spin_pop of  3 C 5dz^2    -0.00056
spin_pop of  3 C 5dxz     -0.00341
spin_pop of  3 C 5dx2-y2   -0.00002
spin_pop of  3 C 4f-3      0.00014
spin_pop of  3 C 4f-2     -0.00000
spin_pop of  3 C 4f-1      0.00013
spin_pop of  3 C 4f+0      0.00007
spin_pop of  3 C 4f+1      0.00001
spin_pop of  3 C 4f+2      0.00006
spin_pop of  3 C 4f+3      0.00013
spin_pop of  3 C 5f-3      0.00128
spin_pop of  3 C 5f-2     -0.00033
spin_pop of  3 C 5f-1      0.00128
spin_pop of  3 C 5f+0      0.00020
spin_pop of  3 C 5f+1      0.00007
spin_pop of  3 C 5f+2      0.00030
spin_pop of  3 C 5f+3      0.00041
spin_pop of  3 C 5g-4      0.00008
spin_pop of  3 C 5g-3      0.00000
spin_pop of  3 C 5g-2      0.00001
spin_pop of  3 C 5g-1      0.00008
spin_pop of  3 C 5g+0      0.00001
spin_pop of  3 C 5g+1      0.00001
spin_pop of  3 C 5g+2      0.00001
spin_pop of  3 C 5g+3      0.00003
spin_pop of  3 C 5g+4     -0.00000
spin_pop of  4 H 1s       -0.00139
spin_pop of  4 H 2s       -0.00557
spin_pop of  4 H 3s       -0.01783
spin_pop of  4 H 4s       -0.00709
spin_pop of  4 H 2px       0.00002
spin_pop of  4 H 2py       0.00020
spin_pop of  4 H 2pz       0.00002
spin_pop of  4 H 3px       0.00015
spin_pop of  4 H 3py       0.00274
spin_pop of  4 H 3pz       0.00014
spin_pop of  4 H 4px      -0.00024
spin_pop of  4 H 4py       0.01018
spin_pop of  4 H 4pz      -0.00032
spin_pop of  4 H 3dxy      0.00003
spin_pop of  4 H 3dyz      0.00003
spin_pop of  4 H 3dz^2     0.00001
spin_pop of  4 H 3dxz      0.00001
spin_pop of  4 H 3dx2-y2    0.00000
spin_pop of  4 H 4dxy      0.00082
spin_pop of  4 H 4dyz      0.00083
spin_pop of  4 H 4dz^2    -0.00006
spin_pop of  4 H 4dxz      0.00004
spin_pop of  4 H 4dx2-y2   -0.00003
spin_pop of  4 H 4f-3      0.00003
spin_pop of  4 H 4f-2      0.00007
spin_pop of  4 H 4f-1      0.00002
spin_pop of  4 H 4f+0      0.00000
spin_pop of  4 H 4f+1      0.00000
spin_pop of  4 H 4f+2      0.00000
spin_pop of  4 H 4f+3      0.00000
spin_pop of  5 H 1s        0.00139
spin_pop of  5 H 2s        0.00557
spin_pop of  5 H 3s        0.01783
spin_pop of  5 H 4s        0.00710
spin_pop of  5 H 2px      -0.00002
spin_pop of  5 H 2py      -0.00020
spin_pop of  5 H 2pz      -0.00002
spin_pop of  5 H 3px      -0.00015
spin_pop of  5 H 3py      -0.00274
spin_pop of  5 H 3pz      -0.00014
spin_pop of  5 H 4px       0.00024
spin_pop of  5 H 4py      -0.01018
spin_pop of  5 H 4pz       0.00032
spin_pop of  5 H 3dxy     -0.00003
spin_pop of  5 H 3dyz     -0.00003
spin_pop of  5 H 3dz^2    -0.00001
spin_pop of  5 H 3dxz     -0.00001
spin_pop of  5 H 3dx2-y2   -0.00000
spin_pop of  5 H 4dxy     -0.00082
spin_pop of  5 H 4dyz     -0.00083
