converged SCF energy = -154.533661580833  <S^2> = 0.49360162  2S+1 = 1.7246468
 ** Mulliken Spin Density (per AO)  **
spin_pop of  0 C 1s       -0.00110
spin_pop of  0 C 2s        0.00046
spin_pop of  0 C 3s        0.00514
spin_pop of  0 C 4s        0.02708
spin_pop of  0 C 5s        0.00738
spin_pop of  0 C 2px       0.00194
spin_pop of  0 C 2py       0.03743
spin_pop of  0 C 2pz       0.00231
spin_pop of  0 C 3px       0.00585
spin_pop of  0 C 3py       0.11520
spin_pop of  0 C 3pz       0.00707
spin_pop of  0 C 4px       0.01254
spin_pop of  0 C 4py       0.16097
spin_pop of  0 C 4pz       0.01368
spin_pop of  0 C 5px       0.00439
spin_pop of  0 C 5py       0.08339
spin_pop of  0 C 5pz       0.00538
spin_pop of  0 C 3dxy     -0.00014
spin_pop of  0 C 3dyz     -0.00006
spin_pop of  0 C 3dz^2    -0.00004
spin_pop of  0 C 3dxz     -0.00002
spin_pop of  0 C 3dx2-y2   -0.00011
spin_pop of  0 C 4dxy     -0.00255
spin_pop of  0 C 4dyz     -0.00154
spin_pop of  0 C 4dz^2    -0.00038
spin_pop of  0 C 4dxz     -0.00028
spin_pop of  0 C 4dx2-y2   -0.00078
spin_pop of  0 C 5dxy     -0.00348
spin_pop of  0 C 5dyz     -0.00109
spin_pop of  0 C 5dz^2     0.00032
spin_pop of  0 C 5dxz      0.00240
spin_pop of  0 C 5dx2-y2    0.00009
spin_pop of  0 C 4f-3     -0.00015
spin_pop of  0 C 4f-2      0.00000
spin_pop of  0 C 4f-1     -0.00006
spin_pop of  0 C 4f+0     -0.00005
spin_pop of  0 C 4f+1     -0.00000
spin_pop of  0 C 4f+2     -0.00004
spin_pop of  0 C 4f+3     -0.00009
spin_pop of  0 C 5f-3     -0.00121
spin_pop of  0 C 5f-2      0.00023
spin_pop of  0 C 5f-1     -0.00061
spin_pop of  0 C 5f+0     -0.00015
spin_pop of  0 C 5f+1     -0.00005
spin_pop of  0 C 5f+2     -0.00020
spin_pop of  0 C 5f+3     -0.00026
spin_pop of  0 C 5g-4     -0.00005
spin_pop of  0 C 5g-3     -0.00000
spin_pop of  0 C 5g-2     -0.00001
spin_pop of  0 C 5g-1     -0.00005
spin_pop of  0 C 5g+0     -0.00001
spin_pop of  0 C 5g+1     -0.00001
spin_pop of  0 C 5g+2     -0.00001
spin_pop of  0 C 5g+3     -0.00002
spin_pop of  0 C 5g+4      0.00000
spin_pop of  1 C 1s        0.00110
spin_pop of  1 C 2s       -0.00046
spin_pop of  1 C 3s       -0.00514
spin_pop of  1 C 4s       -0.02708
spin_pop of  1 C 5s       -0.00737
spin_pop of  1 C 2px      -0.00194
spin_pop of  1 C 2py      -0.03743
spin_pop of  1 C 2pz      -0.00231
spin_pop of  1 C 3px      -0.00586
spin_pop of  1 C 3py      -0.11520
spin_pop of  1 C 3pz      -0.00706
spin_pop of  1 C 4px      -0.01255
spin_pop of  1 C 4py      -0.16097
spin_pop of  1 C 4pz      -0.01368
spin_pop of  1 C 5px      -0.00439
spin_pop of  1 C 5py      -0.08339
spin_pop of  1 C 5pz      -0.00538
spin_pop of  1 C 3dxy      0.00014
spin_pop of  1 C 3dyz      0.00006
spin_pop of  1 C 3dz^2     0.00004
spin_pop of  1 C 3dxz      0.00002
spin_pop of  1 C 3dx2-y2    0.00011
spin_pop of  1 C 4dxy      0.00255
spin_pop of  1 C 4dyz      0.00154
spin_pop of  1 C 4dz^2     0.00038
spin_pop of  1 C 4dxz      0.00028
spin_pop of  1 C 4dx2-y2    0.00077
spin_pop of  1 C 5dxy      0.00349
spin_pop of  1 C 5dyz      0.00109
spin_pop of  1 C 5dz^2    -0.00032
spin_pop of  1 C 5dxz     -0.00240
spin_pop of  1 C 5dx2-y2   -0.00009
spin_pop of  1 C 4f-3      0.00015
spin_pop of  1 C 4f-2     -0.00000
spin_pop of  1 C 4f-1      0.00006
spin_pop of  1 C 4f+0      0.00005
spin_pop of  1 C 4f+1      0.00000
spin_pop of  1 C 4f+2      0.00004
spin_pop of  1 C 4f+3      0.00009
spin_pop of  1 C 5f-3      0.00121
spin_pop of  1 C 5f-2     -0.00023
spin_pop of  1 C 5f-1      0.00061
spin_pop of  1 C 5f+0      0.00015
spin_pop of  1 C 5f+1      0.00005
spin_pop of  1 C 5f+2      0.00020
spin_pop of  1 C 5f+3      0.00026
spin_pop of  1 C 5g-4      0.00005
spin_pop of  1 C 5g-3      0.00000
spin_pop of  1 C 5g-2      0.00001
spin_pop of  1 C 5g-1      0.00005
spin_pop of  1 C 5g+0      0.00001
spin_pop of  1 C 5g+1      0.00001
spin_pop of  1 C 5g+2      0.00001
spin_pop of  1 C 5g+3      0.00002
spin_pop of  1 C 5g+4     -0.00000
spin_pop of  2 C 1s       -0.00110
spin_pop of  2 C 2s        0.00046
spin_pop of  2 C 3s        0.00514
spin_pop of  2 C 4s        0.02708
spin_pop of  2 C 5s        0.00738
spin_pop of  2 C 2px       0.00194
spin_pop of  2 C 2py       0.03743
spin_pop of  2 C 2pz       0.00231
spin_pop of  2 C 3px       0.00585
spin_pop of  2 C 3py       0.11520
spin_pop of  2 C 3pz       0.00707
spin_pop of  2 C 4px       0.01254
spin_pop of  2 C 4py       0.16097
spin_pop of  2 C 4pz       0.01368
spin_pop of  2 C 5px       0.00439
spin_pop of  2 C 5py       0.08339
spin_pop of  2 C 5pz       0.00538
spin_pop of  2 C 3dxy     -0.00014
spin_pop of  2 C 3dyz     -0.00006
spin_pop of  2 C 3dz^2    -0.00004
spin_pop of  2 C 3dxz     -0.00002
spin_pop of  2 C 3dx2-y2   -0.00011
spin_pop of  2 C 4dxy     -0.00255
spin_pop of  2 C 4dyz     -0.00154
spin_pop of  2 C 4dz^2    -0.00038
spin_pop of  2 C 4dxz     -0.00028
spin_pop of  2 C 4dx2-y2   -0.00078
spin_pop of  2 C 5dxy     -0.00348
spin_pop of  2 C 5dyz     -0.00109
spin_pop of  2 C 5dz^2     0.00032
spin_pop of  2 C 5dxz      0.00240
spin_pop of  2 C 5dx2-y2    0.00009
spin_pop of  2 C 4f-3     -0.00015
spin_pop of  2 C 4f-2      0.00000
spin_pop of  2 C 4f-1     -0.00006
spin_pop of  2 C 4f+0     -0.00005
spin_pop of  2 C 4f+1     -0.00000
spin_pop of  2 C 4f+2     -0.00004
